District,Size,Price
Алматинский,38,16000000
Есильский,110,22500000
Есильский,43,36000000
Алматинский,98,29500000
Есильский,52,13252525
Есильский,140,22000000
Есильский,52,13500000
Сарыаркинский,47,10800000
Есильский,97,10810000
Алматинский,71,11000000
Есильский,38,31500000
Есильский,135,28700000
Есильский,110,49999999
Алматинский,38,33000000
Алматинский,85,21500000
Есильский,97,72000000
Алматинский,33,17000000
Алматинский,98,14202000
Есильский,43,42000000
Есильский,68,18879000
Есильский,69,19000000
Есильский,41,15000000
Алматинский,69,17000000
Есильский,61,31500000
Есильский,16,72000000
Сарыаркинский,85,13800000
Алматинский,158,65000000
Есильский,39,11900000
Алматинский,190,21500000
Алматинский,68,18200000
Есильский,20,35000000
Алматинский,40,17500000
Есильский,83,21200000
Есильский,56,18879000
Есильский,60,42000000
Алматинский,65,32000000
Алматинский,78,25300000
Алматинский,210,65000000
Есильский,190,11900000
Есильский,40,23500000
Есильский,58,35000000
Есильский,45,82000000
Сарыаркинский,110,24650000
Алматинский,107,18800000
Алматинский,54,51000000
Сарыаркинский,90,30000000
Есильский,121,85000000
Есильский,210,24000000
Алматинский,55,22000000
Есильский,54,21500000
Есильский,60,33500000
Алматинский,92,35000000
Алматинский,97,19800000
Есильский,52,20500000
Алматинский,153,18800000
Сарыаркинский,210,32000000
Алматинский,56,51000000
Сарыаркинский,95,70000000
Есильский,54,41000000
Есильский,52,20500000
Есильский,90,40920000
Есильский,90,11900000
Есильский,153,85000000
Сарыаркинский,103,15988000
Алматинский,114,22000000
Есильский,46,11900000
Алматинский,124,35000000
Есильский,41,24000000
Есильский,210,82000000
Сарыаркинский,56,45500000
Есильский,54,22500000
Сарыаркинский,95,70000000
Сарыаркинский,98,45500000
Есильский,173,22500000
Есильский,290,19500000
Сарыаркинский,130,11750000
Алматинский,71,18500000
Алматинский,112,18200000
Алматинский,95,60000000
Есильский,48,89000000
Есильский,81,34000000
Есильский,160,27500000
Есильский,98,18300000
Есильский,45,64500000
Есильский,173,28400000
Есильский,290,28000000
Есильский,118,28200000
Сарыаркинский,75,34000000
Есильский,84,26000000
Есильский,80,24200000
Есильский,133,24300000
